School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Drummond Memorial Public School,Pymble,Government,643,325,318
Drummoyne Public School,Clarence Town,Government,140,69,71
Dubbo Christian School,Narraweena,Government,506,258,248
Dubbo North Public School,Claymore,Government,293,137,156
Dubbo Public School,Wahroonga,Government,696,330,366
Dubbo School of Distance Education,West Ryde,Government,208,119,89
Dubbo South Public School,Clergate,Government,90,43,47
Dubbo West Public School,Turramurra,Government,570,274,296
Dudley Public School,Eastwood,Government,777,369,408
Dulwich Hill Public School,Clunes,Government,74,36,38
Dundas Public School,Ryde,Government,486,236,250
Dundurrabin Public School,Coal Point,Government,263,147,116
Dunedoo Central School,Mount Colah,Government,467,229,238
Dungay Public School,Cobar,Government,233,126,107
Dungog Public School,North Narrabeen,Government,725,329,396
Dungowan Public School,Cobargo,Government,62,20,42
Dunoon Public School,Lane Cove,Government,613,284,329
Dural Public School,Cobbitty,Government,315,153,162
Duranbah Public School,Killara,Government,432,206,226
Duri Public School,Coffee Camp,Government,35,15,20
Durrumbul Public School,North Curl Curl,Government,833,396,437
E A Southee Public School,Coffs Harbour,Government,461,212,249
Earlwood Public School,Pymble,Government,582,290,292
East Hills Public School,Coleambally,Government,187,92,95
Eastern Creek Public School,Manly,Government,704,344,360
Eastlakes Public School,Coledale,Government,148,67,81
Eastwood Heights Public School,Collarenebri,Government,82,40,42
Eastwood Public School,Collaroy Plateau,Government,619,317,302
Ebenezer Christian College,Collector,Government,30,19,11
Ebenezer Public School,Collins Creek,Government,9,6,3
Ebor Public School,Gordon,Government,314,137,177
Eden Public School,Colo Heights,Government,41,21,20
Edensor Park Public School,Lane Cove,Government,636,320,316
Edgeworth Heights Public School,Colo Vale,Government,183,87,96
Edgeworth Public School,Forestville,Government,681,310,371
Edward Public School,Mount Druitt,Government,875,421,454
Eglinton Public School,Manly Vale,Government,521,254,267
Elands Public School,Comboyne,Government,31,18,13
Elanora Heights Public School,Epping,Government,551,270,281
Elderslie Public School,Kurrajong,Government,109,50,59
Eleebana Public School,Eastwood,Government,523,250,273
Elermore Vale Public School,Mount Kuring-Gai,Government,180,95,85
Ellalong Public School,Eastwood,Government,790,403,387
Ellerston Public School,Conargo,Government,6,0,6
Ellison Public School,North Ryde,Government,324,165,159
Elonera Montessori School,Concord,Government,274,142,132
Eltham Public School,North Epping,Government,477,233,244
Emanuel School,Concord West,Government,348,165,183
Emerton Public School,Elanora Heights,Government,573,266,307
Emmanuel Anglican College,Condell Park,Government,560,263,297
Emmaville Central School,Cromer,Government,639,298,341
Empire Bay Public School,Condobolin,Government,314,152,162
Empire Vale Public School,Collaroy Plateau,Government,478,231,247
Emu Heights Public School,Condong,Government,63,25,38
Emu Plains Public School,North Ryde,Government,552,260,292
Enfield Public School,Congewai,Government,16,10,6
Engadine Public School,Hornsby,Government,459,222,237
Engadine West Public School,Coniston,Government,201,87,114
Enngonia Public School,Thornleigh,Government,519,243,276
Epping Heights Public School,Thornleigh,Government,618,287,331
Epping North Public School,Lithgow,Government,423,199,224
Epping Public School,West Pymble,Government,348,158,190
Epping West Public School,St Ives,Government,929,471,458
Erina Heights Public School,Carlingford,Government,344,174,170
Ermington Public School,Coolah,Government,228,113,115
Ermington West Public School,St Ives,Government,522,281,241
Erskineville Public School,Coolamon,Government,304,165,139
Eschol Park Public School,Coolongolook,Government,29,15,14
Ettalong Public School,Hornsby,Government,949,472,477
Euabalong West Public School,Cooma North,Government,308,144,164
Euchareena Public School,Belrose,Government,360,165,195
Eugowra Public School,Cooma,Government,251,100,151
Eumungerie Public School,Coonabarabran,Government,264,120,144
Eungai Public School,Killarney Heights,Government,678,341,337
Eureka Public School,Coonamble,Government,183,84,99
Eurongilly Public School,St Ives,Government,176,89,87
Euston Public School,Coopernook,Government,38,23,15
Evans River Community School,Carlingford,Government,988,473,515
Excelsior Public School,Coorabell,Government,121,52,69
Exeter Public School,Frenchs Forest,Government,534,286,248
Fairfax Public School,Cooranbong,Government,240,124,116
Fairfield Heights Public School,Berowra Heights,Government,403,203,200
Fairfield Public School,Cootamundra,Government,302,148,154
Fairfield West Public School,Copacabana,Government,352,169,183
Fairvale Public School,Davidson,Government,223,87,136
Fairy Meadow Public School,Copmanhurst,Government,62,31,31
Falls Creek Public School,Cherrybrook,Government,644,303,341
Farmborough Road Public School,Coraki,Government,43,25,18
Farmhouse Montessori School,Castle Hill,Government,755,354,401
Fassifern Public School,Coramba,Government,44,17,27
Faulconbridge Public School,Castle Hill,Government,760,355,405
Fennell Bay Public School,Corindi Beach,Government,186,96,90
Fern Bay Public School,Hornsby,Government,658,329,329
Ferncourt Public School,Corndale,Government,21,13,8
Fernleigh Public School,Corowa,Government,226,99,127
Figtree Heights Public School,Corowa,Government,49,25,24
Figtree Public School,St Ives,Catholic,166,83,83
Fingal Head Public School,Cranebrook,Catholic,552,285,267
Finigan School of Distance Education,Waratah,Catholic,163,77,86
Finley Public School,Corrimal,Government,240,112,128
Five Dock Public School,Corrimal,Government,230,115,115
Flinders Public School,Coutts Crossing,Government,72,33,39
Floraville Public School,Eastwood,Government,907,440,467
Forbes North Public School,Cowper,Government,21,13,8
Forbes Public School,Mosman,Government,668,325,343
Forest Hill Public School,Cowra,Government,389,188,201
Forest Lodge Public School,Crabbes Creek,Government,34,18,16
Forestville Montessori School,Doonside,Government,468,215,253
Forestville Public School,Crescent Head,Government,183,94,89
Forster Public School,Baulkham Hills,Government,747,370,377
Fort Street Public School,Cringila,Government,129,68,61
Fr John Therry Catholic Primary School Balmain-Rozelle,Crookwell,Government,195,78,117
Frank Partridge VC Public School,Croppa Creek,Government,15,8,7
Franklin Public School,Crossmaglen,Government,21,11,10
Frederickton Public School,Crystal Creek,Government,82,37,45
Freemans Reach Public School,Cudal,Government,75,34,41
Frenchs Forest Public School,Mudgee,Government,550,281,269
Galilee Catholic Primary School,Cudgen,Government,181,86,95
Galstaun College,Culburra Beach,Government,179,71,108
Galston Public School,Culcairn,Government,114,48,66
Ganmain Public School,Cullen Bullen,Government,21,8,13
Garah Public School,Cumnock,Government,46,18,28
Garden Suburb Public School,Cundletown,Government,337,155,182
Gardeners Road Public School,Curlewis,Government,48,26,22
Georges Hall Public School,Currabubula,Government,23,9,14
Georges River Grammar,Macquarie Fields,Government,252,121,131
Gerogery Public School,Currans Hill,Government,578,289,289
Gerringong Public School,Dalgety,Government,11,4,7
Geurie Public School,Prestons,Government,1053,476,577
Gib Gate School,Dalton,Government,11,4,7
Gilgai Public School,Horsley,Government,741,350,391
Gilgandra Public School,Wentworthville,Government,721,351,370
Gillieston Public School,Dareton,Government,55,23,32
Gillwinga Public School,Darlington Point,Government,59,27,32
Girilambone Public School,Greenacre,Government,841,374,467
Girraween Public School,Dharruk,Government,299,145,154
Gladesville Public School,Deepwater,Government,19,10,9
Gladstone Public School,Delegate,Government,36,22,14
Glebe Public School,Delungra,Government,34,10,24
Glen Alice Public School,Deniliquin,Government,172,81,91
Glen Innes Public School,Deniliquin,Government,263,126,137
Glen Innes West Infants School,Denman,Government,159,79,80
Glen William Public School,Doonside,Government,269,133,136
Glenaeon Rudolf Steiner School,Dora Creek,Government,109,54,55
Glenbrook Public School,Dorrigo,Government,103,47,56
Glendale East Public School,Doubtful Creek,Government,13,8,5
Glendenning Public School,Douglas Park,Government,129,56,73
Glendore Public School,Drake,Government,18,8,10
Glenfield Public School,Armidale,Government,172,75,97
Glenhaven Public School,Dubbo,Government,258,124,134
Glenmore Park Public School,Panania,Government,466,231,235
Glenmore Road Public School,Dubbo,Government,539,260,279
Glenorie Public School,Enfield,Government,304,150,154
Glenquarry Public School,Dubbo,Government,346,152,194
Glenreagh Public School,Fairfield,Government,581,279,302
Glenroi Heights Public School,Dubbo,Government,660,331,329
Glenroy Public School,Fairfield West,Government,772,373,399
Glenwood Public School,Dubbo,Government,389,180,209
Glossodia Public School,Glenfield,Government,432,202,230
Gloucester Public School,Dudley,Government,262,121,141
Gol Gol Public School,Granville,Government,572,258,314
Good Samaritan Catholic Primary School,Guildford,Government,336,165,171
Good Shepherd Catholic Primary School,Dundas,Government,379,173,206
Good Shepherd Primary School,Green Valley,Government,439,213,226
Goodooga Central School,Dundurrabin,Government,27,6,21
Goolgowi Public School,Guildford,Government,585,272,313
Goolma Public School,Dunedoo,Government,157,75,82
Goolmangar Public School,Hammondville,Government,458,220,238
Gooloogong Public School,Dungay,Government,88,43,45
Goonellabah Public School,Homebush,Government,519,257,262
Goonengerry Public School,Dungog,Government,281,143,138
Gordon East Public School,Horsley Park,Government,95,37,58
Gordon West Public School,Dungowan,Government,22,10,12
Gorokan Public School,Hoxton Park,Government,671,310,361
Gosford East Public School,Dunoon,Government,85,39,46
Gosford Public School,Ingleburn,Government,600,286,314
Goulburn East Public School,Campbelltown,Government,124,56,68
Goulburn North Public School,Duranbah,Government,57,27,30
Goulburn Public School,Lakemba,Government,479,223,256
Goulburn South Public School,Duri,Government,37,21,16
Goulburn West Public School,Lidcombe,Government,813,385,428
Governor Philip King Public School,Durrumbul,Government,21,10,11
Grafton Public School,Merrylands,Government,563,277,286
Grahamstown Public School,Cootamundra,Government,98,48,50
Granville East Public School,Milperra,Government,282,131,151
Granville Public School,Minto,Government,211,108,103
Granville South Public School,Panania,Government,173,85,88
Gravesend Public School,Concord,Government,402,191,211
Grays Point Public School,Eastern Creek,Government,299,159,140
Green Hill Public School,Camden,Government,38,15,23
Green Point Christian College,Mount Pritchard,Government,361,170,191
Green Valley Islamic College,Narellan,Government,329,153,176
Green Valley Public School,Oakdale,Government,141,62,79
Greenacre Baptist Christian Community School,The Oaks,Government,285,143,142
Greenacre Public School,Ebenezer,Government,143,67,76
Greenethorpe Public School,Guildford,Government,438,232,206
Greenway Park Public School,Ebor,Government,15,6,9
Greenwell Point Public School,Padstow,Government,370,180,190
Greenwich Public School,Eden,Government,279,136,143
Grenfell Public School,Picton,Government,373,187,186
Gresford Public School,Picton,Government,373,187,186
Greta Public School,Edensor Park,Government,279,134,145
Greystanes Public School,Prestons,Government,702,344,358
Griffith East Public School,Edgeworth,Government,406,205,201
Griffith North Public School,Punchbowl,Government,549,260,289
Griffith Public School,Edgeworth,Government,610,309,301
Grose View Public School,Leppington,Government,279,150,129
Guildford Public School,Deniliquin,Government,134,63,71
Guildford West Public School,Regents Park,Government,281,144,137
Guise Public School,Eglinton,Government,465,228,237
Gulargambone Central School,Revesby,Government,341,180,161
Gulgong Public School,Elands,Government,15,6,9
Gulmarrad Public School,Rossmore,Government,72,20,52
Gum Flat Public School,St Johns Park,Government,797,353,444
Gundagai Public School,Elderslie,Government,534,250,284
Gundagai South Public School,Smithfield,Government,600,297,303
Gundaroo Public School,Eleebana,Government,584,267,317
Gunnedah Public School,North Strathfield,Government,526,254,272
Gunnedah South Public School,Wallsend,Government,376,185,191
Gunning Public School,Strathfield,Government,780,362,418
Guyra Central School,Ellalong,Government,123,59,64
Gwabegar Public School,Tahmoor,Government,404,197,207
Gwandalan Public School,Ellerston,Government,23,10,13
Gwynneville Public School,Thirlmere,Government,374,160,214
Gymea Bay Public School,Springwood,Government,308,156,152
Gymea North Public School,Yanderra,Government,38,19,19
Haberfield Public School,Eltham,Government,49,24,25
Hallidays Point Public School,Kemps Creek,Government,150,77,73
Hambledon Public School,Fairfield,Government,982,485,497
Hamilton North Public School,Emerton,Government,224,100,124
Hamilton Public School,Warwick Farm,Government,208,98,110
Hamilton South Public School,Emmaville,Government,90,56,34
Hammondville Public School,Georges Hall,Government,829,402,427
Hampden Park Public School,Empire Vale,Government,25,7,18
Hampton Public School,Riverwood,Government,99,41,58
Hannam Vale Public School,Emu Plains,Government,312,148,164
Hannans Road Public School,Emu Plains,Government,463,224,239
Hanwood Public School,Yagoona,Government,556,247,309
Harbord Public School,Wattle Grove,Government,628,304,324
Harcourt Public School,Enngonia,Government,25,13,12
Hargraves Public School,Narwee,Government,293,149,144
Harrington Park Public School,Padstow,Government,381,169,212
Harrington Public School,Villawood,Government,241,124,117
Harrington Street Public School,Erina Heights,Government,317,161,156
Harwood Island Public School,Ermington,Government,179,97,82
Hassall Grove Public School,Yennora,Government,234,119,115
Hastings Public School,Eschol Park,Government,357,186,171
Hawkesbury Independent School,Guildford West,Government,391,186,205
Hay Public School,Ettalong Beach,Government,527,239,288
Hayes Park Public School,Fairfield,Government,636,287,349
Hazelbrook Public School,Euabalong West,Government,19,11,8
Heathcote East Public School,Panania,Government,389,196,193
Heathcote Public School,Euchareena,Government,3,1,2
Heaton Public School,Revesby,Government,353,173,180
Hebersham Public School,Eugowra,Government,27,14,13
Heckenberg Public School,Eungai Creek,Government,51,22,29
Helensburgh Public School,Leumeah,Government,561,285,276
Henry Fulton Public School,Eureka,Government,33,14,19
Henschke Primary School,Bankstown,Government,199,86,113
Henty Public School,Eurongilly,Government,21,10,11
Heritage Christian School,Macquarie Fields,Government,983,504,479
Heritage College Lake Macquarie,Euston,Government,85,44,41
Hermidale Public School,Fairfield East,Government,269,136,133
Hernani Public School,Evans Head,Government,498,259,239
Herons Creek Public School,Padstow,Government,356,169,187
Highfields Preparatory and Kindergarten School,Castle Hill,Government,560,280,280
Hill End Public School,Riverwood,Government,127,66,61
Hill Top Public School,Exeter,Government,142,72,70
Hills Adventist College,Maules Creek,Government,9,6,3
Hills Montessori School,Panania,Government,205,110,95
Hillsborough Public School,Liverpool,Government,682,341,341
Hillside Public School,Mount Pritchard,Government,244,102,142
Hillston Central School,Fairy Meadow,Government,365,167,198
Hilltop Road Public School,Falls Creek,Government,32,18,14
Hillvue Public School,Unanderra,Government,177,77,100
Hinchinbrook Public School,Liverpool,Government,721,354,367
Hinterland Christian College,Fassifern,Government,61,33,28
Hinton Public School,Holsworthy,Government,699,358,341
Hobartville Public School,Faulconbridge,Government,332,146,186
Holbrook Public School,Lurnea,Government,443,203,240
Holgate Public School,Fennell Bay,Government,180,86,94
Holmwood Public School,Fern Bay,Government,82,33,49
Holsworthy Public School,Greystanes,Government,417,213,204
Holy Cross Catholic Primary School,Cabramatta,Government,985,417,568
Holy Cross Catholic Primary School,Fernleigh,Government,37,15,22
Holy Cross Catholic Primary School,Sadleir,Government,338,151,187
Holy Cross Primary School,Figtree,Government,232,117,115
Holy Cross Primary School,Merrylands,Government,303,145,158
Holy Family Catholic Primary School,Figtree,Government,289,139,150
Holy Family Catholic Primary School,Heckenberg,Government,207,113,94
Holy Family Catholic Primary School,Fingal Head,Government,44,22,22
Holy Family Catholic Primary School,Miller,Government,211,90,121
Holy Family Catholic Primary School,Finley,Government,167,82,85
Holy Family Parish School,Picnic Point,Government,409,200,209
Holy Family Primary School,Flinders,Government,592,294,298
Holy Family Primary School,Wetherill Park,Government,312,158,154
Holy Family Primary School,Belmont,Government,536,259,277
Holy Family Primary School,Forbes,Government,268,122,146
Holy Family Primary School,Cabramatta,Government,178,91,87
Holy Family Primary School,Forbes,Government,280,137,143
Holy Innocents' Catholic Primary School,Forest Hill,Government,251,112,139
Holy Name Primary School,Moorebank,Government,438,197,241
Holy Saviour School,Forster,Government,704,366,338
Holy Spirit Catholic Primary School,Macquarie Fields,Government,199,89,110
Holy Spirit Catholic Primary School,Camden,Government,426,198,228
Holy Spirit Infants School,Nambucca Heads,Government,216,100,116
Holy Spirit Primary School,St Johns Park,Government,513,249,264
Holy Spirit Primary School,Tumut,Government,281,138,143
Holy Spirit Primary School,Greystanes,Government,248,113,135
Holy Trinity Primary School,Frederickton,Government,147,83,64
Holy Trinity School,Airds,Government,202,95,107
Holy Trinity West Wagga,Freemans Reach,Government,178,92,86
Homebush Public School,St Andrews,Government,861,400,461
Homebush West Public School,Ruse,Government,432,199,233
HopePoint Christian School,Bondi Beach,Catholic,125,63,62
Hornsby Heights Public School,Ingleburn,Government,527,267,260
Hornsby North Public School,Campbelltown,Government,270,119,151
Hornsby South Public School,Ganmain,Government,28,15,13
Horsley Park Public School,Lakemba,Government,886,429,457
Howlong Public School,Garah,Government,17,9,8
Hoxton Park Public School,Moorebank,Government,626,327,299
Hume Public School,Garden Suburb,Government,215,103,112
Humula Public School,Minto,Government,441,212,229
Hunter Christian School,Minto,Government,320,155,165
Hunter School of Performing Arts,Gerogery,Government,20,12,8
Hunter Valley Grammar School,Glenfield,Government,235,105,130
Hunters Hill Public School,Gerringong,Government,446,214,232
Huntingdon Public School,Rosemeadow,Government,758,380,378
Hurstville Adventist School,Gilgai,Government,50,27,23
Hurstville Grove Infants School,Ambarvale,Government,512,253,259
Hurstville Public School,Gilgandra,Government,227,112,115
Hurstville South Public School,Gillieston Heights,Government,204,94,110
Huskisson Public School,Wiley Park,Government,594,283,311
Ilford Public School,South Grafton,Government,143,59,84
Illabo Public School,Bossley Park,Government,441,202,239
Illaroo Road Public School,Girilambone,Government,10,6,4
Illawarra Christian School,Girraween,Government,1273,594,679
Illawong Public School,Wetherill Park,Government,526,245,281
Iluka Public School,Edensor Park,Government,613,302,311
Immaculate Heart of Mary Catholic Primary School,Gladstone,Government,31,12,19
Inaburra School,Raby,Government,564,283,281
Ingleburn Public School,Glen Alice,Government,9,5,4
Inner Sydney Montessori School,Kearns,Government,206,115,91
International Chinese School,Glen Innes,Government,395,173,222
International Grammar School,Mount Annan,Government,753,392,361
International Maarif Schools of Australia - Gallipoli Campus,Clarence Town,Government,26,12,14
Inverell Public School,St Helens Park,Government,427,210,217
Iona Public School,Hinchinbrook,Government,642,328,314
Irfan College,Glenbrook,Government,296,145,151
Ironbark Ridge Public School,Narellan Vale,Government,803,408,395
Irrawang Public School,Glendale,Government,232,108,124
Islington Public School,Carnes Hill,Government,757,349,408
Italian Bilingual School,Glendenning,Government,618,302,316
Ivanhoe Central School,Maryland,Government,609,292,317
Jamberoo Public School,Newington,Government,872,415,457
James Erskine Public School,Harrington Park,Government,748,380,368
Jamisontown Public School,Glenmore Park,Government,673,354,319
Jannali East Public School,Middleton Grange,Government,449,203,246
Jannali Public School,Glenquarry,Government,28,10,18
Jasper Road Public School,Campsie,Government,504,232,272
Jennings Public School,Glenreagh,Government,61,25,36
Jerangle Public School,Merrylands,Government,340,172,168
Jerilderie Public School,Orange,Government,232,114,118
Jerrabomberra Public School,Canley Vale,Government,715,342,373
Jerrys Plains Public School,North Albury,Government,190,100,90
Jesmond Public School,Granville,Government,324,173,151
Jewells Primary School,Homebush West,Government,581,296,285
Jiggi Public School,Glossodia,Government,205,112,93
Jilliby Public School,Gloucester,Government,290,147,143
Jindabyne Central School,Gol Gol,Government,188,84,104
Jindera Public School,Hoxton Park,Catholic,445,236,209
John Colet School,Plumpton,Catholic,706,364,342
John Palmer Public School,Goolgowi,Government,37,15,22
John Purchase Public School,Goolmangar,Government,16,6,10
John the Baptist Catholic Primary School,Gooloogong,Government,20,12,8
John Warby Public School,Goonellabah,Government,289,132,157
John XXIII Catholic Primary School,Gorokan,Government,580,264,316
Johns River Public School,East Gosford,Government,368,172,196
Jugiong Public School,West Gosford,Government,518,240,278
Junee North Public School,Goulburn,Government,164,77,87
Junee Public School,Goulburn North,Government,280,138,142
Kahibah Public School,Goulburn,Government,156,69,87
Kamaroi Rudolf Steiner School,Goulburn,Government,168,71,97
Kambala,Goulburn,Government,425,223,202
Kambora Public School,Liverpool,Government,713,371,342
Kandos Public School,Grafton,Government,617,305,312
Kangaloon Public School,Raymond Terrace,Government,310,162,148
Kangaroo Valley Public School,Gravesend,Government,29,14,15
Kanwal Public School,West Kempsey,Government,29,12,17
Kapooka Public School,Greenethorpe,Government,13,6,7
Karangi Public School,Greenwell Point,Government,104,56,48
Kareela Public School,Grenfell,Government,161,72,89
Kariong Public School,Gresford,Government,83,42,41
Karuah Public School,Greta,Government,194,90,104
Karuna Montessori School,Greystanes,Government,746,355,391
Katoomba North Public School,Griffith,Government,569,251,318
Katoomba Public School,Griffith,Government,425,216,209
Kearns Public School,Griffith,Government,380,185,195
Kearsley Public School,Grose Vale,Government,236,100,136
Kegworth Public School,Gulargambone,Government,72,38,34
Keiraville Public School,Gulgong,Government,344,168,176
Kellys Plains Public School,Gulmarrad,Government,179,76,103
Kellyville Public School,Gum Flat,Government,23,10,13
Kellyville Ridge Public School,Gundagai,Government,156,65,91
Kelso Public School,South Gundagai,Government,44,21,23
Kemblawarra Public School,Gundaroo,Government,114,62,52
Kemps Creek Public School,Gunnedah,Government,156,63,93
Kempsey Adventist School,Gunnedah,Government,636,305,331
Kempsey East Public School,Gunning,Government,103,51,52
Kempsey South Public School,Guyra,Government,309,155,154
Kempsey West Public School,Gwabegar,Government,12,6,6
Kendall Public School,Gwandalan,Government,392,213,179
Kensington Public School,Gwynneville,Government,251,119,132
Kent Road Public School,Diamond Beach,Government,290,159,131
Kenthurst Public School,Quakers Hill,Government,705,335,370
Kentlyn Public School,Broadmeadow,Government,166,82,84
Kentucky Public School,Hamilton,Government,317,165,152
Kesser Torah College,Merewether,Government,436,210,226
Khancoban Public School,Hampton,Government,5,3,2
Kiama Public School,Hannam Vale,Government,16,11,5
Killara Public School,Hanwood,Government,244,123,121
Killarney Heights Public School,Hargraves,Government,27,18,9
Killarney Vale Public School,Harrington,Government,109,50,59
Kinchela Public School,Harwood,Government,58,28,30
Kincoppal - Rose Bay School of the Sacred Heart,Hassall Grove,Government,727,344,383
Kincumber Public School,Port Macquarie,Government,679,324,355
Kindlehill School,Hay,Government,178,83,95
King Park Public School,Kanahooka,Government,549,267,282
King Street Public School,Hazelbrook,Government,387,198,189
Kingdom Culture Christian School,Jesmond,Government,192,88,104
Kings Langley Public School,Hebersham,Government,586,294,292
Kingscliff Public School,Helensburgh,Government,438,211,227
Kingsgrove Public School,Cranebrook,Government,428,230,198
Kingstown Public School,Henty,Government,108,48,60
Kingswood Park Public School,Kellyville,Government,768,369,399
Kingswood Public School,Hermidale,Government,12,6,6
Kingswood South Public School,Kingswood,Government,499,243,256
Kinma School,Dorrigo,Government,6,3,3
Kinross Wolaroi School,Kurmond,Government,156,78,78
Kirkton Public School,Herons Creek,Government,24,11,13
Kirrawee Public School,Kurrajong,Government,252,124,128
Kitchener Public School,East Kurrajong,Government,68,35,33
Knox Grammar School,Hill End,Government,9,5,4
Kogarah Public School,Kurrajong Hills,Government,82,45,37
Koinonia Christian Academy,Hill Top,Government,142,75,67
Koonawarra Public School,Lawson,Government,198,86,112
Koorawatha Public School,Leura,Government,234,126,108
Kooringal Public School,Llandilo,Government,342,166,176
Kootingal Public School,Charlestown,Government,268,128,140
Kororo Public School,Londonderry,Government,227,117,110
Korowal School,Luddenham,Government,81,39,42
Kotara South Public School,Hillston,Government,175,85,90
Krambach Public School,Central Macdonald,Government,17,10,7
Kulnura Public School,Merrylands,Government,763,396,367
Kurmond Public School,Maraylya,Government,107,56,51
Kurnell Public School,Tamworth,Government,347,162,185
Kurrajong East Public School,Maroota,Government,29,12,17
Kurrajong North Public School,Marsden Park,Government,237,120,117
Kurrajong Public School,Seven Hills,Government,241,112,129
Kurri Kurri Public School,Hinton,Government,95,44,51
Kuyper Christian School,Megalong Valley,Government,7,4,3
Kyeemagh Public School,Hobartville,Government,340,160,180
Kyogle Public School,Mount Victoria,Government,69,38,31
La Perouse Public School,Holbrook,Government,137,54,83
Ladysmith Public School,Mulgoa,Government,78,37,41
Laggan Public School,Holgate,Government,154,70,84
Laguna Public School,Northmead,Government,726,354,372
Laguna Street Public School,Cowra,Government,55,26,29
Lake Albert Public School,Oakville,Government,444,206,238
Lake Cargelligo Central School,Orchard Hills,Government,134,61,73
Lake Cathie Public School,Kincumber,Catholic,303,136,167
Lake Heights Public School,Glenwood,Government,686,342,344
Lake Illawarra South Public School,Woollahra,Catholic,258,134,124
Lake Munmorah Public School,Parramatta,Government,1142,553,589
Lake Wyangan Public School,Helensburgh,Catholic,171,92,79
Lakelands Public School,North Parramatta,Government,433,209,224
Lakemba Public School,Glendale,Catholic,138,63,75
Lakes Grammar - An Anglican School,Parramatta,Government,882,408,474
Lalor Park Public School,Glenwood,Catholic,433,205,228
Lambton Public School,Penrith,Government,464,207,257
Lane Cove Public School,Lindfield,Catholic,219,112,107
Lane Cove West Public School,Pitt Town,Government,280,135,145
Lansdowne Public School,Ingleburn,Catholic,373,191,182
Lansvale East Public School,Plumpton,Government,472,235,237
Lansvale Public School,Quakers Hill,Government,1055,500,555
Lapstone Public School,Merewether Beach,Catholic,263,137,126
Largs Public School,Regentville,Government,650,314,336
Larnook Public School,Granville East,Catholic,290,146,144
Laurieton Public School,North Richmond,Government,238,122,116
Lavington East Public School,Luddenham,Catholic,246,120,126
Lavington Public School,Luddenham,Catholic,246,120,126
Lawrence Public School,Riverstone,Government,373,160,213
Lawson Public School,Rouse Hill,Government,672,307,365
Leeton Public School,Emerton,Catholic,212,116,96
Leeville Public School,Emerton,Catholic,212,116,96
Leichhardt Public School,Rydalmere,Government,145,60,85
Lennox Head Public School,St Marys,Government,285,137,148
Leonay Public School,Forster,Catholic,276,133,143
Leppington Public School,Schofields,Government,619,275,344
Lethbridge Park Public School,Seven Hills,Government,293,141,152
Leumeah Public School,Springwood,Government,479,230,249
Leura Public School,North Ryde,Catholic,452,230,222
Lewisham Public School,Toongabbie,Government,604,277,327
Liberty College,Vineyard,Government,55,24,31
Lidcombe Public School,Kurri Kurri,Catholic,164,78,86
Lightning Ridge Central School,Wallacia,Government,67,30,37
Lilli Pilli Public School,St Clair,Catholic,356,196,160
Lindfield East Public School,Wentworth Falls,Government,402,201,201
Lindfield Learning Village,Wentworthville,Government,691,343,348
Lindfield Montessori Preschool,Granville,Catholic,201,104,97
Lindfield Public School,Wilberforce,Government,340,165,175
Lindisfarne Anglican Grammar School,Windsor,Government,155,81,74
Lindsay Park Public School,Wisemans Ferry,Government,37,21,16
Linuwel School Ltd,Warragamba,Government,364,170,194
Lisarow Public School,Parramatta,Government,618,290,328
Lismore Heights Public School,Westmead,Government,1638,797,841
Lismore Public School,Seven Hills,Government,131,56,75
Lismore South Public School,Katoomba,Government,152,75,77
Lithgow Public School,Howlong,Government,194,96,98
Liverpool Public School,Wentworthville,Government,280,121,159
Liverpool West Public School,Lavington,Government,149,73,76
Llandilo Public School,Richmond,Government,369,185,184
Lochinvar Public School,Humula,Government,19,11,8
Lockhart Central School,St Marys,Government,565,286,279
Loftus Public School,Broadmeadow,Government,1131,836,295
Londonderry Public School,Rooty Hill,Government,639,326,313
Long Flat Public School,Wauchope,Government,44,18,26
Lord Howe Island Central School,South Windsor,Government,218,100,118
Loreto Kirribilli,Oatlands,Government,217,97,120
Loreto Normanhurst,Telopea,Government,80,36,44
Lorien Novalis School for Rudolf Steiner Education,Ermington,Government,200,87,113
Louth Public School,Huskisson,Government,199,106,93
Lowanna Public School,Ilford,Government,26,12,14
Lowesdale Public School,Penrith,Government,523,251,272
Lucas Heights Community School,Illabo,Government,37,19,18
Luddenham Public School,North Nowra,Government,554,283,271
Lue Public School,Dundas Valley,Government,128,47,81
Lugarno Public School,Seven Hills,Government,332,158,174
Lumen Christi Catholic College,Blacktown,Government,498,223,275
Lurnea Public School,Iluka,Government,104,52,52
Lutheran School Wagga Wagga,Lalor Park,Government,143,68,75
Lyndhurst Public School,Warrimoo,Government,162,86,76
Lynwood Park Public School,North St Marys,Government,379,185,194
Macarthur Adventist College,Acacia Gardens,Government,720,338,382
Macarthur Anglican School,Inverell,Government,510,244,266
Macdonald Valley Public School,Seven Hills,Government,544,272,272
MacKillop Catholic College,Woodville,Government,48,22,26
Macksville Adventist School,Blacktown,Government,241,124,117
Macksville Public School,St Marys,Government,326,172,154
Maclean Public School,Rouse Hill,Government,978,484,494
Macquarie Anglican Grammar School,Marayong,Government,305,150,155
Macquarie College,Raymond Terrace,Government,346,161,185
Macquarie Fields Public School,Islington,Government,164,82,82
Madang Avenue Public School,Mount Druitt,Government,557,277,280
Maimuru Public School,Blacktown,Government,602,290,312
