School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Beaumont Hills Public School,Bathurst,Government,496,242,254
Beaumont Road Public School,Batlow,Government,123,56,67
Beauty Point Public School,Baulkham Hills,Government,949,462,487
Beckom Public School,Beacon Hill,Government,533,255,278
Bedgerabong Public School,Beaumont Hills,Government,620,288,332
Beechwood Public School,Auburn,Independent,118,65,53
Beecroft Public School,Killara,Government,408,199,209
Beelbangera Public School,Mosman,Government,304,156,148
Bega Valley Public School,Tweed Heads South,Independent,354,176,178
Belair Public School,Beckom,Government,7,3,4
Bella Vista Public School,Kellyville,Catholic,536,273,263
Bellambi Public School,Wauchope,Government,168,66,102
Bellata Public School,West Lindfield,Independent,3,1,2
Bellbird Public School,Beecroft,Government,890,469,421
Bellbrook Public School,North Sydney,Independent,19,8,11
Bellevue Hill Public School,Beelbangera,Government,192,101,91
Bellfield College,Narraweena,Independent,8,3,5
Bellingen Public School,Bega,Government,316,142,174
Belltrees Public School,Adamstown,Government,499,241,258
Belmont Christian College,North Balgowlah,Independent,44,18,26
Belmont North Public School,Queanbeyan,Catholic,674,332,342
Belmont Public School,Bellambi,Government,184,85,99
Belmore North Public School,Bellata,Government,24,13,11
Belmore South Public School,Bellbird,Government,251,117,134
Belrose Public School,Woollahra,Independent,1223,555,668
Bemboka Public School,Bellbrook,Government,23,15,8
Ben Lomond Public School,Clarenza,Independent,324,152,172
Ben Venue Public School,Bellevue Hill,Government,566,284,282
Bendemeer Public School,Bellingen,Government,397,210,187
Bennett Road Public School,Belltrees,Government,10,4,6
Berala Public School,Belmont,Government,169,79,90
Beresfield Public School,Belmont,Government,333,164,169
Beresford Road Public School,Belmore,Government,307,145,162
Berinba Public School,Belmore,Government,287,117,170
Berkeley Public School,Beverly Hills,Government,522,224,298
Berkeley Vale Public School,Belrose,Government,267,133,134
Berkeley West Public School,Balmain,Government,371,191,180
Bermagui Public School,Bemboka,Government,47,22,25
Berowra Christian School,Blakehurst,Government,258,129,129
Berowra Public School,Ben Lomond,Government,14,6,8
Berridale Public School,Bondi Beach,Government,618,276,342
Berrigan Public School,Armidale,Government,563,296,267
Berrima Public School,Botany,Government,289,137,152
Berry Public School,Bendemeer,Government,16,6,10
Bert Oldfield Public School,Brighton-Le-Sands,Government,654,326,328
Bethany Catholic Primary School,Colyton,Government,594,279,315
Bethel Christian School,Bronte,Government,388,182,206
Beverly Hills North Public School,Berala,Government,826,413,413
Beverly Hills Public School,Newtown,Government,344,166,178
Bexhill Public School,Beresfield,Government,308,145,163
Bexley North Public School,Canterbury,Government,369,178,191
Bexley Public School,Greystanes,Government,701,350,351
Bhaktivedanta Swami Gurukula School,Caringbah,Government,274,127,147
Biddabah Public School,Yass,Government,276,128,148
Bidwill Public School,Bexley,Government,836,391,445
Bigga Public School,Berkeley,Government,348,170,178
Bilambil Public School,Carlton,Government,645,301,344
Bilgola Plateau Public School,Berkeley Vale,Government,699,356,343
Bilpin Public School,Earlwood,Government,592,272,320
Binalong Public School,Berkeley,Government,220,120,100
Binda Public School,Waverley,Government,599,313,286
Bingara Central School,Bermagui,Government,171,97,74
Binnaway Central School,Como,Government,93,39,54
Binya Public School,Berowra,Government,419,186,233
Biraban Public School,South Hurstville,Government,552,257,295
Birchgrove Public School,Berridale,Government,56,30,26
Birrong Public School,Coogee,Government,615,308,307
Bishop Druitt College,Berrigan,Government,71,31,40
Bishop Tyrrell Anglican College,Cronulla,Government,438,206,232
Black Hill Public School,Berrima,Government,157,78,79
Black Mountain Public School,Chippendale,Government,206,98,108
Black Springs Public School,Berry,Government,325,143,182
Blackalls Park Public School,Double Bay,Government,341,189,152
Blackett Public School,Seven Hills,Government,288,139,149
Blackheath Public School,Drummoyne,Government,620,326,294
