Suburb,Year,Average
Davidson,2011,94.4
Dean Park,2011,96.1
Dee Why,2011,89.9
Delegate,2011,94.5
Delungra,2011,93.3
Denman,2011,95.6
Dharruk,2011,94.9
Diamond Beach,2011,95.2
Doonside,2011,92.1
Dorrigo,2011,96.1
Double Bay,2011,93.4
Douglas Park,2011,94
Dover Heights,2011,91
Drummoyne,2011,92.5
Dubbo,2011,93.66666667
Dudley,2011,93.1
Dulwich Hill,2011,93.25
Dundas Valley,2011,92.63333333
Dungay,2011,96.7
Dungog,2011,91.8
Dunmore,2011,95.1
Dunoon,2011,94
Dural,2011,93.66666667
Duri,2011,93.3
Eagle Vale,2011,92.5
Earlwood,2011,95.25
East Lindfield,2011,94.1
East Lismore,2011,92.6
East Maitland,2011,92.95
Eastern Creek,2011,94.5
Eastlakes,2011,95.3
Eastwood,2011,94.475
Eden,2011,96.2
Edensor Park,2011,92.5
Edgeworth,2011,93.35
Edmondson Park,2011,94.7
Eglinton,2011,90
Elanora Heights,2011,89.3
Elderslie,2011,94.3
Eleebana,2011,94.1
Ellalong,2011,92.2
Emerton,2011,93.13333333
Emmaville,2011,95
Emu Plains,2011,94.45
Enfield,2011,94.6
Engadine,2011,92.75
Epping,2011,94.26666667
Erina,2011,91.3
Erina Heights,2011,94.15
Ermington,2011,95.2
Erskine Park,2011,93.1
Erskineville,2011,94.3
Eschol Park,2011,93.7
Ettalong Beach,2011,92.2
Eungella,2011,92.8
Evans Head,2011,94.6
Exeter,2011,94.2
Fairfield,2011,94.1
Fairfield East,2011,94.4
Fairfield West,2011,93
Fairy Meadow,2011,92.43333333
Fassifern,2011,96.1
Faulconbridge,2011,94
Fennell Bay,2011,95.9
Fern Bay,2011,92
Five Dock,2011,94.65
Fletcher,2011,94.5
Forest Lodge,2011,94.1
Forestville,2011,93.5
Forster,2011,95.4
Frenchs Forest,2011,94
Freshwater,2011,95.8
Galston,2011,91.7
Ganmain,2011,92.2
Garden Suburb,2011,91.3
Georges Hall,2011,92.96666667
Gerringong,2011,96.4
Gilgandra,2011,95.8
Gillieston Heights,2011,96.2
Glebe,2011,93
Glenbrook,2011,94.7
Glendale,2011,92.1
Glenfield,2011,95.4
Glenhaven,2011,93.4
Glenmore Park,2011,94
Glenorie,2011,91.4
Glenreagh,2011,94.4
Glenwood,2011,91.1
Glossodia,2011,93.9
Gloucester,2011,94.3
Gol Gol,2011,92.8
Goolgowi,2011,95.1
Goonellabah,2011,93.93333333
Gordon,2011,97.1
Goulburn,2011,94.03333333
Goulburn North,2011,94
Grafton,2011,93.56666667
Granville,2011,93.93333333
Granville East,2011,88
Grays Point,2011,94.9
Green Point,2011,95.3
Green Valley,2011,92.7
Greenacre,2011,93.58
Greenwell Point,2011,92.2
Greenwich,2011,93.3
Grenfell,2011,95
Gresford,2011,94.4
Greta,2011,90.5
Greystanes,2011,94.2
Griffith,2011,92.56666667
Grose Vale,2011,95.1
