Suburb,Year,Average
Penrith,2013,92.23333333
Penshurst,2013,94
Perthville,2013,94.3
Petersham,2013,92.8
Picton,2013,94.36666667
Pitt Town,2013,95.6
Plumpton,2013,95.15
Point Clare,2013,93.3
Port Kembla,2013,92.7
Port Macquarie,2013,93.94
Potts Point,2013,94.6
Pottsville,2013,95.3
Prestons,2013,94.73333333
Pretty Beach,2013,95.1
Prospect,2013,94.2
Punchbowl,2013,93.2
Pymble,2013,92.675
Quakers Hill,2013,94.95
Queanbeyan,2013,94.42
Quirindi,2013,92
Raglan,2013,96.4
Ramsgate,2013,89.7
Randwick,2013,92.725
Rathmines,2013,95.9
Raymond Terrace,2013,95.16666667
Redhead,2013,94.4
Regents Park,2013,95.1
Regentville,2013,95.4
Revesby,2013,88.65
Richmond,2013,94.5
Riverstone,2013,94.1
Robertson,2013,93.9
Rockdale,2013,90.9
Rooty Hill,2013,94.2
Ropes Crossing,2013,93.8
Rose Bay,2013,93.4
Rosebank,2013,96.1
Rosebery,2013,95
Rosehill,2013,96.2
Roselands,2013,90.9
Rosemeadow,2013,94.65
Roseville,2013,92.2
Rossmore,2013,96.6
Rouse Hill,2013,93.16666667
Rozelle,2013,93.2
Ruse,2013,96.6
Rutherford,2013,94.3
Rydalmere,2013,95.8
Ryde,2013,94.9
Salamander Bay,2013,94.5
Salt Ash,2013,92
San Remo,2013,94.4
Sandy Beach,2013,92.9
Sans Souci,2013,95.6
Sawtell,2013,94.8
Schofields,2013,92.9
Seaforth,2013,94.2
Seaham,2013,94.4
Shell Cove,2013,96.6
Shellharbour,2013,94.5
Shellharbour City,2013,95
Shelly Beach,2013,96.8
Shoal Bay,2013,95.1
Shoalhaven Heads,2013,93.3
Singleton,2013,93.4
Smithfield,2013,93.7
Smithtown,2013,94.8
South Coogee,2013,94.8
South Grafton,2013,94.95
South Gundagai,2013,92.2
South Hurstville,2013,89.7
South Lismore,2013,93.5
South Penrith,2013,94.4
South Tamworth,2013,96.3
South West Rocks,2013,94.7
South Windsor,2013,93.55
Speers Point,2013,91.4
Springfield,2013,94.8
Springwood,2013,95.45
St Andrews,2013,97.7
St Clair,2013,93.6
St Helens Park,2013,90.6
St Ives,2013,94.84
St Johns Park,2013,95.6
St Marys,2013,92.3
St Peters,2013,94.1
Stanhope Gardens,2013,96.5
Stanmore,2013,94
Stockton,2013,94.7
Strathfield,2013,92.8
Stroud,2013,95.1
Stuarts Point,2013,95.4
Summer Hill,2013,93.1
Surfside,2013,96.2
Surry Hills,2013,94.2
Sutherland,2013,90.05
Swansea,2013,90
Sydney,2013,94
Sylvania,2013,90.05
Tacoma,2013,95.5
Tahmoor,2013,93.85
Tamworth,2013,88.875
Taree,2013,92.95
Tarro,2013,96.45
Telegraph Point,2013,96.6
Temora,2013,93.1
Tempe,2013,94.9
Tenambit,2013,95.2
Tenterfield,2013,94.55
Terranora,2013,95.25
Terrey Hills,2013,95.65
Terrigal,2013,95.5
The Entrance,2013,95
The Ponds,2013,94.4
Thirlmere,2013,95.7
Thirroul,2013,97.3
Thornleigh,2013,93.65
Thornton,2013,95.7
Thurgoona,2013,96.2
Tighes Hill,2013,95.4
Timbumburi,2013,93.4
Tinonee,2013,91
Tintenbar,2013,96.6
Toongabbie,2013,94.1
Toormina,2013,95.3
Toronto,2013,95.2
Townsend,2013,95.8
Tregear,2013,88.2
Tuggerah,2013,91.3
Tumbarumba,2013,95.3
Tumbi Umbi,2013,96.6
Tuncurry,2013,94.5
Turramurra,2013,91.65
Tweed Heads South,2013,92.2
Uki,2013,94
Ultimo,2013,94.2
Unanderra,2013,88.6
Upper Main Arm,2013,95.1
Uralla,2013,93.4
Urunga,2013,94.6
Vacy,2013,95.3
Valentine,2013,94.1
Vaucluse,2013,93.9
Villawood,2013,92.6
Wadeville,2013,91
Wagga Wagga,2013,93.2
Wahroonga,2013,91.1
Waitara,2013,94.6
Wallacia,2013,87.7
Wallsend,2013,96.15
Wangi Wangi,2013,94.9
Waratah,2013,93.4
Warialda,2013,93.63333333
Warners Bay,2013,95.15
Warnervale,2013,94.2
Warrimoo,2013,95.25
Warwick Farm,2013,94
Wattle Grove,2013,95
Wauchope,2013,93.8
Waverley,2013,92.73333333
Wee Waa,2013,94.05
Wentworth Falls,2013,96.3
Wentworthville,2013,93.625
Werrington,2013,94.7
Werris Creek,2013,95.2
West Gosford,2013,94.3
West Kempsey,2013,97.1
West Pymble,2013,94.85
West Tamworth,2013,93.4
West Wallsend,2013,95.6
Westdale,2013,95.3
Westmead,2013,93.36666667
Weston,2013,96.1
Wetherill Park,2013,96.8
Whalan,2013,92.5
Wilberforce,2013,96.6
Wiley Park,2013,93.8
Willmot,2013,95.9
Willoughby,2013,96.4
Wilton,2013,95.15
Windale,2013,95.3
Wingham,2013,95.3
Winmalee,2013,94.8
Wollongbar,2013,92.2
Wollongong,2013,91.7
Wollongong West,2013,94.9
Woodberry,2013,93.8
Woodburn,2013,91
Woodenbong,2013,96.1
Woolgoolga,2013,94.4
Wooli,2013,94.6
Woollahra,2013,93.8
Woronora,2013,90.3
Woy Woy,2013,95.6
Wyee,2013,96
Wyoming,2013,94.86666667
Wyong,2013,94.3
Wyong Creek,2013,95.9
Yagoona,2013,95.7
Yamba,2013,92.9
Yass,2013,94.8
Yennora,2013,93.9
Young,2013,94.8
Yowie Bay,2013,95.4
Abbotsford,2014,95.3
Aberdeen,2014,92.8
Abermain,2014,95.8
Adamstown,2014,96.7
Albion Park,2014,92.9
Albury,2014,95.7
Allambie Heights,2014,94.9
Alstonville,2014,95.95
Ambarvale,2014,94.2
Annandale,2014,96.3
Annangrove,2014,91.3
Appin,2014,95.2
Arcadia,2014,94.45
Ariah Park,2014,91.7
Armidale,2014,94.35714286
Arncliffe,2014,94.4
Ashbury,2014,95
Ashcroft,2014,94.3
Ashfield,2014,97.1
Ashmont,2014,94.5
Ashtonfield,2014,93.2
Auburn,2014,93.375
Austinmer,2014,95.4
Austral,2014,96.4
Avalon Beach,2014,94.8
Avoca Beach,2014,96
Awaba,2014,97.8
Balgowlah,2014,92.83333333
Balgownie,2014,95
Ballina,2014,94.65
Balmain,2014,92.3
Balmain East,2014,94.4
Balranald,2014,96.8
Bangalow,2014,96.7
Bangor,2014,93.25
Bankstown,2014,93.4
Banora Point,2014,90.4
Baradine,2014,93.7
Barden Ridge,2014,96.3
Bardia,2014,94.9
Bargo,2014,95.4
Barham,2014,90.8
Barooga,2014,94
Barraba,2014,94.9
Barrack Heights,2014,94.2
Bass Hill,2014,94.6
Bateau Bay,2014,93.4
Bathurst,2014,95.7
Batlow,2014,97.1
Baulkham Hills,2014,95.06666667
Beacon Hill,2014,97.1
Beaumont Hills,2014,95.1
Beecroft,2014,92.7
Beelbangera,2014,96.6
Bega,2014,93.6
Bellambi,2014,92.7
Bellbird,2014,94.1
Bellevue Hill,2014,94.7
Bellingen,2014,96
Belmont,2014,94.85
Belmont North,2014,94.4
Belmore,2014,93.75
Belrose,2014,94.3
Bemboka,2014,93.1
Berala,2014,97.2
Beresfield,2014,95.5
Berkeley Vale,2014,95.1
Bermagui,2014,91
Berowra,2014,95.5
Berowra Heights,2014,94.65
Berrima,2014,95
Berry,2014,95.6
Beverly Hills,2014,92.4
Bexhill,2014,94.8
Bexley,2014,93.925
Bidwill,2014,94.8
Bilpin,2014,91.8
Bingara,2014,79.2
Birrong,2014,95.3
Blackalls Park,2014,94.1
Blackheath,2014,94.35
Blacksmiths,2014,94.8
Blacktown,2014,92.04285714
Blairmount,2014,89.5
Blakebrook,2014,97.4
Blakehurst,2014,93.25
Blaxland,2014,95.7
Blaxland East,2014,91.3
Blayney,2014,95.3
Bligh Park,2014,96.4
Boambee,2014,93.1
Bodalla,2014,94.9
Bogangar,2014,94.5
Bolwarra,2014,95.2
Bomaderry,2014,91.75
Bombala,2014,97.1
Bonalbo,2014,93.1
Bondi Beach,2014,95.4
Bonnet Bay,2014,95.1
Bonnyrigg,2014,94.6
Bonnyrigg Heights,2014,94.3
Boolaroo,2014,93.4
Boomerang Beach,2014,92.7
Booragul,2014,94.4
Booral,2014,95.4
Boorowa,2014,95.2
Boree Creek,2014,96
Bossley Park,2014,96.3
Botany,2014,94.575
Bourke,2014,94.3
Bowral,2014,94.7
Bowraville,2014,92.7
Bradbury,2014,94.3
Braidwood,2014,90.5
Branxton,2014,92.1
Brewarrina,2014,93.8
Brighton-Le-Sands,2014,94.2
Broadmeadow,2014,95.95
Broke,2014,95.6
Broken Hill,2014,94.4
Brooklyn,2014,91.3
Brookvale,2014,94.4
Broulee,2014,95.55
Brunswick Heads,2014,95.1
Budgewoi,2014,94
Bulli,2014,95.7
Bundanoon,2014,96.5
Bundarra,2014,94.5
Bundeena,2014,92.3
Bungendore,2014,93
Burren Junction,2014,95
Burringbar,2014,94.5
Burwood,2014,93.15
Busby,2014,96
Buxton,2014,92.3
Byron Bay,2014,94.6
Cabramatta,2014,93.2
Callala Bay,2014,92.3
Cambewarra,2014,95.4
Cambridge Park,2014,84.9
Camden,2014,92.925
Cammeray,2014,94.6
Campbelltown,2014,94.74285714
Campsie,2014,96.2
Candelo,2014,91.4
Canley Heights,2014,96
Canley Vale,2014,96
Canowindra,2014,92.9
Canterbury,2014,95.55
Captains Flat,2014,95.7
Cardiff,2014,95.1
Cardiff South,2014,97.1
Caringbah,2014,95.2
Carlingford,2014,93.4
Carlton,2014,94.1
Carnes Hill,2014,93
Carramar,2014,87.5
Carrington,2014,94.2
Cartwright,2014,95.5
Casino,2014,96.35
Castle Hill,2014,95.2
Castlereagh,2014,94.1
Casula,2014,96.1
Cattai,2014,92.4
Caves Beach,2014,91.8
Cecil Hills,2014,94.9
Central Mangrove,2014,95.5
Central Tilba,2014,94.9
Cessnock,2014,93.05
Charlestown,2014,95.3
Chatswood,2014,94.35
Chatsworth,2014,95.8
Cherrybrook,2014,87.36666667
Chester Hill,2014,94.96666667
Chippendale,2014,97
Chipping Norton,2014,94.5
Chisholm,2014,96.3
Chittaway Bay,2014,96.6
Claremont Meadows,2014,94.6
Clarence Town,2014,96.1
Clarenza,2014,89.3
Claymore,2014,92.2
Clergate,2014,94.3
Clovelly,2014,94.9
Clunes,2014,95.9
Coal Point,2014,92.7
Cobar,2014,94.9
Cobargo,2014,97.2
Cobbitty,2014,95.25
Coffee Camp,2014,90
Coffs Harbour,2014,95.33333333
Coleambally,2014,95.25
Coledale,2014,93.4
Collarenebri,2014,95.7
Collaroy,2014,95.1
Collaroy Plateau,2014,96.25
Colo Vale,2014,94.8
Como,2014,93.85
Concord,2014,93.2
Condobolin,2014,94.5
Condong,2014,96.4
Coniston,2014,95.7
Coogee,2014,96
Coolah,2014,96.8
Coolamon,2014,96.3
Cooma,2014,94.2
Cooma North,2014,96
Coonabarabran,2014,91.2
Coonamble,2014,95
Coorabell,2014,96.4
Cooranbong,2014,95.85
Cootamundra,2014,93.8
Copacabana,2014,94.5
Copmanhurst,2014,94.7
Coraki,2014,92
Cordeaux Heights,2014,92.4
Corindi Beach,2014,90.9
Corowa,2014,93.6
Corrimal,2014,95.06666667
Coutts Crossing,2014,95.4
Cowan,2014,93.5
Cowra,2014,95.45
Cranebrook,2014,94.125
Crescent Head,2014,96.7
Cringila,2014,92
Cromer,2014,89.6
Cronulla,2014,95.275
Croydon,2014,93.95
Croydon Park,2014,93.4
Crystal Creek,2014,94.6
Cudal,2014,94.2
Culcairn,2014,95.6
Cumnock,2014,84.9
Cundletown,2014,96.15
Curlewis,2014,94.7
Currans Hill,2014,96.8
Daceyville,2014,95
Dapto,2014,95.35
Dareton,2014,93.6
Davidson,2014,93.9
Dean Park,2014,96.3
Dee Why,2014,93.1
Delegate,2014,96
Delungra,2014,94.2
Deniliquin,2014,95.93333333
Denman,2014,91
Dharruk,2014,96.3
Diamond Beach,2014,96.5
Doonside,2014,93.65
Dorrigo,2014,96.5
Double Bay,2014,93.6
Douglas Park,2014,94.8
Dover Heights,2014,92.8
Drummoyne,2014,93.7
Dubbo,2014,93.93333333
Dudley,2014,93.3
Dulwich Hill,2014,94.25
Dundas Valley,2014,95.6
Dungay,2014,95.2
Dungog,2014,86.1
Dunmore,2014,95.9
Dunoon,2014,94
Dural,2014,95.16666667
Duri,2014,93.8
Eagle Vale,2014,93.9
Earlwood,2014,94.775
East Lindfield,2014,94
East Lismore,2014,93.4
East Maitland,2014,93.75
Eastern Creek,2014,96
Eastlakes,2014,96.2
Eastwood,2014,95.525
Eden,2014,96.9
Edensor Park,2014,93.8
Edgeworth,2014,93.1
Edmondson Park,2014,94.3
Eglinton,2014,92.6
Elanora Heights,2014,91.4
Elderslie,2014,92.8
Eleebana,2014,97.4
Ellalong,2014,89.8
Emerton,2014,94
Emmaville,2014,95.2
Emu Plains,2014,94.375
Enfield,2014,94
Engadine,2014,95.325
Epping,2014,93.96666667
Erina,2014,91.6
Erina Heights,2014,94.6
Ermington,2014,94.9
Erskine Park,2014,93.85
Erskineville,2014,94.7
Eschol Park,2014,94.3
Ettalong Beach,2014,92.9
Eungella,2014,90.8
Evans Head,2014,95.3
Exeter,2014,92.9
Fairfield,2014,94.4
Fairfield East,2014,94.4
Fairfield West,2014,92.2
Fairy Meadow,2014,92.7
Fassifern,2014,95.8
Faulconbridge,2014,94.5
Fennell Bay,2014,96
Fern Bay,2014,93.5
Fletcher,2014,94.4
Forest Lodge,2014,94.1
Forestville,2014,95.95
Forster,2014,94.9
Frenchs Forest,2014,94.6
Freshwater,2014,97.6
Galston,2014,94.2
Ganmain,2014,91.6
Garden Suburb,2014,92.7
Georges Hall,2014,93.8
Gerringong,2014,96.3
Gilgandra,2014,95.7
Gillieston Heights,2014,95.6
Glebe,2014,92.9
Glenbrook,2014,94.9
Glendale,2014,92.65
Glenfield,2014,94.5
Glenhaven,2014,94.6
Glenmore Park,2014,94.9
Glenorie,2014,94.9
Glenreagh,2014,93.9
Glenwood,2014,92.3
Glossodia,2014,95.8
Gloucester,2014,93
Gol Gol,2014,92.9
Goolgowi,2014,95.3
Goonellabah,2014,93.73333333
Gordon,2014,92.15
Goulburn,2014,94.6
Goulburn North,2014,92.9
Grafton,2014,93.26666667
Granville,2014,94.2
Granville East,2014,87.6
Grays Point,2014,96.7
Green Point,2014,95.4
Green Valley,2014,93.1
Greenacre,2014,95.28
Greenwell Point,2014,94.6
Greenwich,2014,90.8
Grenfell,2014,95.6
Gresford,2014,94.7
Greta,2014,93.1
Greystanes,2014,95.56666667
Griffith,2014,93.43333333
Grose Vale,2014,94.8
Guildford,2014,93.65
Guildford West,2014,86.9
Gulargambone,2014,96
Gulgong,2014,95.9
Gulmarrad,2014,95.5
Gundagai,2014,95.3
Gundaroo,2014,90.7
Gunnedah,2014,96
Gunning,2014,93.7
Guyra,2014,87.9
Gwandalan,2014,94.6
Gwynneville,2014,96.25
Gymea,2014,94.1
Gymea Bay,2014,95.7
Haberfield,2014,92.4
Hamilton,2014,93.7
Hammondville,2014,93
Hanwood,2014,96.4
Harrington,2014,93.7
Harrington Park,2014,94.7
Harwood,2014,92.9
Hazelbrook,2014,92.5
Hebersham,2014,96.3
Helensburgh,2014,94.45
Henty,2014,92.7
Hillston,2014,95
Hinchinbrook,2014,95.2
Hinton,2014,92.2
Hobartville,2014,97.9
Holbrook,2014,92.75
Holgate,2014,93.1
Holsworthy,2014,95.6
Homebush,2014,89
Homebush West,2014,94.2
Hornsby,2014,94
Horsley,2014,93.1
Howlong,2014,92.6
Hoxton Park,2014,94.45
Hunters Hill,2014,96.1
Hurstville,2014,92.5
Illawong,2014,96.7
Iluka,2014,92.8
Ingleburn,2014,95.13333333
Inverell,2014,94.8
Islington,2014,94.6
Jannali,2014,94.4
Jerilderie,2014,95.8
Jerrabomberra,2014,93.8
Jewells,2014,94.4
Jindabyne,2014,94.1
Jindera,2014,93.65
Junee,2014,94.96666667
Kahibah,2014,95
Kanahooka,2014,94.9
Kandos,2014,96.1
Karangi,2014,93.9
Kareela,2014,91.1
Karuah,2014,93.9
Katoomba,2014,93.13333333
Kearsley,2014,96
Keiraville,2014,94.1
Kellyville,2014,93.63333333
Kelso,2014,95.6
Kempsey,2014,94.2
Kendall,2014,96.3
Kensington,2014,95.45
Kenthurst,2014,94.2
Kiama,2014,94.6
Killara,2014,94.55
Killarney Heights,2014,94
Killarney Vale,2014,89
Kincumber,2014,94.9
Kings Langley,2014,94
Kingscliff,2014,91.7
Kingsgrove,2014,94.45
Kingswood,2014,94.75
Kirrawee,2014,94.2
Kirribilli,2014,92.4
Kitchener,2014,94.6
Kogarah,2014,93.7
Kooringal,2014,97.1
Kootingal,2014,93.6
Korora,2014,93.3
Kotara,2014,95
Kulnura,2014,94.1
Kurnell,2014,94
Kurrajong,2014,94.95
Kurrajong Hills,2014,95.8
Kurri Kurri,2014,96.5
Kyogle,2014,93.8
Laguna,2014,94.9
Lake Albert,2014,95.4
Lake Cargelligo,2014,94.2
Lake Cathie,2014,91.4
Lake Heights,2014,95
Lake Illawarra,2014,95.5
Lake Munmorah,2014,94.25
Lakemba,2014,93.8
Lalor Park,2014,94.6
Lambton,2014,93.1
Lane Cove,2014,93.96666667
Largs,2014,88.1
Laurieton,2014,96.1
Lavington,2014,95.3
Lawson,2014,91.5
Leeton,2014,95.3
Leeville,2014,92.2
Leichhardt,2014,93.55
Lethbridge Park,2014,94.5
Leumeah,2014,95.6
Leura,2014,94.9
Lewisham,2014,96.8
Lidcombe,2014,95.3
Lightning Ridge,2014,80.8
Lilli Pilli,2014,93
Lindfield,2014,95.53333333
Lisarow,2014,93.05
Lismore,2014,95.475
Lithgow,2014,96.1
Liverpool,2014,95.85
Lochinvar,2014,92
Londonderry,2014,94.8
Long Flat,2014,96.1
Luddenham,2014,94.3
Lugarno,2014,90.5
Lurnea,2014,95.5
Macksville,2014,93.6
Maclean,2014,95.4
Macquarie Fields,2014,92.35
Maitland,2014,94.05
Malabar,2014,86.3
Manilla,2014,94.9
Manly,2014,91.9
Manly Vale,2014,96.35
Maraylya,2014,95.3
Marks Point,2014,91.1
Maroubra,2014,94.2
Marrickville,2014,91.45
Marsden Park,2014,96
Marulan,2014,95.4
Maryland,2014,94.3
Mascot,2014,95.6
Mathoura,2014,93.3
Matraville,2014,94.6
Mayfield,2014,94.5
Meadow Flat,2014,96.1
Meadowbank,2014,85.6
Medowie,2014,90.3
Menai,2014,94.25
Mendooran,2014,83.5
Menindee,2014,94.7
Merewether,2014,95.4
Merewether Beach,2014,95.7
Merewether Heights,2014,95.7
Merimbula,2014,93.1
Merriwa,2014,94.65
Merrylands,2014,93.3
Metford,2014,95
Middleton Grange,2014,95.9
Millers Forest,2014,93.2
Millfield,2014,93.2
Milperra,2014,95.2
Milton,2014,94.8
Minchinbury,2014,91.5
Minmi,2014,93.4
Miranda,2014,94.03333333
Mittagong,2014,90.8
Moama,2014,94.4
Molong,2014,93
Mona Vale,2014,91.9
Moorebank,2014,95.4
Moree,2014,93.1
Morisset,2014,94.2
Mortdale,2014,94.9
Moruya,2014,96.8
Mosman,2014,94.125
Moss Vale,2014,92.7
Moulamein,2014,92.7
Mount Annan,2014,92.9
Mount Austin,2014,95.6
Mount Colah,2014,93.6
Mount Druitt,2014,92.74
Mount Keira,2014,93.9
Mount Kuring-Gai,2014,94.2
Mount Pleasant,2014,94.9
Mount Pritchard,2014,94.8
Mount Victoria,2014,92.1
Mudgee,2014,95.8
Mulbring,2014,96.9
Mungindi,2014,95.8
Murwillumbah,2014,91.4
Muswellbrook,2014,93.7
Narellan Vale,2014,96.1
Narrabeen,2014,93.6
Narrabri,2014,95.5
Narrandera,2014,96.9
Narromine,2014,93.8
Narwee,2014,94.3
Neutral Bay,2014,92.3
New Lambton,2014,93.75
Newcastle,2014,91.1
Newington,2014,97.7
Newtown,2014,94.86666667
Niagara Park,2014,96
Nords Wharf,2014,92.1
Normanhurst,2014,94.9
North Albury,2014,93.3
North Balgowlah,2014,95.7
North Casino,2014,95.3
North Curl Curl,2014,92.6
North Epping,2014,94.1
North Haven,2014,96.6
North Kellyville,2014,87.5
North Narrabeen,2014,93.9
North Nowra,2014,94.35
North Parramatta,2014,92.56
North Richmond,2014,94.2
North Rocks,2014,93.5
North Ryde,2014,94.55
North St Marys,2014,93.7
North Sydney,2014,95
North Turramurra,2014,95.7
Northbridge,2014,94.5
Northmead,2014,95.2
Nowra,2014,95.43333333
Nowra East,2014,92.3
Nundle,2014,96.2
Nyngan,2014,94.4
Oak Flats,2014,94
Oakdale,2014,95.3
Oakhurst,2014,95.8
Oakville,2014,94.9
Oatley,2014,93.85
Oberon,2014,91.7
Ocean Shores,2014,92.5
O'Connell,2014,95.9
Old Bar,2014,96
Oran Park,2014,93.6
Orange,2014,93.58888889
Orchard Hills,2014,92.125
Otford,2014,96.3
Oyster Bay,2014,93.1
Paddington,2014,95.1
Padstow,2014,92.36666667
Pagewood,2014,96.6
Pambula,2014,92.8
Pambula Beach,2014,93.4
Panania,2014,95.26666667
Parkes,2014,95.66666667
Parramatta,2014,95.25
Paterson,2014,93.6
Paxton,2014,93.6
Peak Hill,2014,87.6
Peakhurst,2014,95.1
Pelaw Main,2014,94.9
Pelican,2014,95.4
Pennant Hills,2014,94.7
Penrith,2014,93.36666667
Penshurst,2014,95.45
Perthville,2014,87.9
Petersham,2014,94.1
Picton,2014,93.63333333
Pitt Town,2014,96.2
Plumpton,2014,94.7
Point Clare,2014,90.5
Port Kembla,2014,92.5
Port Macquarie,2014,94.96
Potts Point,2014,93.7
Pottsville,2014,95.2
Prestons,2014,94.86666667
Pretty Beach,2014,96.1
Prospect,2014,94.1
Punchbowl,2014,92.8
Pymble,2014,92.45
Quakers Hill,2014,95.275
Queanbeyan,2014,94.24
Quirindi,2014,96
Raglan,2014,93.6
Ramsgate,2014,89.7
Randwick,2014,93
Rathmines,2014,94.4
Raymond Terrace,2014,94.53333333
Redhead,2014,92.7
Regents Park,2014,95
Regentville,2014,95.8
Revesby,2014,90.75
Richmond,2014,93.9
Riverstone,2014,94.95
Robertson,2014,94.2
Rockdale,2014,93.2
Rooty Hill,2014,94.2
Ropes Crossing,2014,94.1
Rosebank,2014,96.6
Rosebery,2014,95.7
Rosehill,2014,96.6
Roselands,2014,89.9
Rosemeadow,2014,94.3
Roseville,2014,91.85
Rossmore,2014,96.1
Rouse Hill,2014,93.9
Rozelle,2014,94.4
Ruse,2014,96.4
Rutherford,2014,94.9
Rydalmere,2014,96.9
Ryde,2014,94.75
Salamander Bay,2014,93.4
Salt Ash,2014,90.3
San Remo,2014,96.9
Sandy Beach,2014,94.7
Sans Souci,2014,96.1
Sawtell,2014,95.45
Schofields,2014,90
Seaforth,2014,95.1
Seaham,2014,94.5
Seven Hills,2014,93.85
Shell Cove,2014,96.3
Shellharbour,2014,94.2
Shellharbour City,2014,95.3
Shelly Beach,2014,96.7
Shoal Bay,2014,95.9
Shoalhaven Heads,2014,94
Singleton,2014,93.43333333
Smithfield,2014,90.7
Smithtown,2014,93.6
South Coogee,2014,94
South Grafton,2014,95.3
South Gundagai,2014,93.4
South Hurstville,2014,90.9
South Lismore,2014,94.6
South Penrith,2014,95
South Tamworth,2014,94.1
South West Rocks,2014,94.6
South Windsor,2014,93.15
Speers Point,2014,92.1
Spring Farm,2014,93.3
Springfield,2014,95.4
Springwood,2014,95.8
St Andrews,2014,97.7
St Clair,2014,93.88
St Helens Park,2014,91.2
St Ives,2014,93.22
St Johns Park,2014,97.8
St Marys,2014,92.93333333
St Peters,2014,93.1
Stanmore,2014,94.2
Stockton,2014,95
Strathfield,2014,93.7
Stroud,2014,95.9
Stuarts Point,2014,96.7
Summer Hill,2014,93.9
Surfside,2014,95.9
Surry Hills,2014,94.2
Sutherland,2014,93
Swansea,2014,91
Sydney,2014,92.2
Sylvania,2014,91.8
Tacoma,2014,96.1
Tahmoor,2014,94.4
Tamworth,2014,89.525
Taree,2014,92.925
Tarro,2014,96.25
Telegraph Point,2014,97.1
Temora,2014,92.9
Tempe,2014,94.4
Tenambit,2014,95.5
Tenterfield,2014,94.75
Terranora,2014,94.55
Terrey Hills,2014,95.4
Terrigal,2014,96.35
The Entrance,2014,96.6
The Ponds,2014,93.35
Thirlmere,2014,96.4
Thirroul,2014,97.4
Thornleigh,2014,91.8
Thornton,2014,96
Thurgoona,2014,96.3
Tighes Hill,2014,95.2
Timbumburi,2014,95
Tinonee,2014,94.2
Tintenbar,2014,96.7
Toongabbie,2014,94.6
Toormina,2014,96.5
Toronto,2014,95.3
Townsend,2014,94.6
Tregear,2014,89.1
Tuggerah,2014,91
Tumbarumba,2014,93.3
Tumbi Umbi,2014,94.2
Tuncurry,2014,95.1
Turramurra,2014,90.2
Tweed Heads South,2014,92.1
Uki,2014,94.5
Ultimo,2014,93.9
Unanderra,2014,88.5
Upper Main Arm,2014,94.2
Uralla,2014,93.7
Urunga,2014,94.6
Vacy,2014,95.5
Valentine,2014,94.8
Vaucluse,2014,94.5
Villawood,2014,92.2
Wadeville,2014,91.4
Wagga Wagga,2014,93.88333333
Wahroonga,2014,92.76
Waitara,2014,95.4
Wallacia,2014,89.2
Wallsend,2014,95.775
Wangi Wangi,2014,94.1
Waratah,2014,92.5
Warialda,2014,94.13333333
Warners Bay,2014,95.95
Warnervale,2014,94.95
Warrimoo,2014,93.7
Warwick Farm,2014,93.5
Wattle Grove,2014,95.1
Wauchope,2014,94.3
Waverley,2014,93.93333333
Wee Waa,2014,90.9
Wentworth Falls,2014,96.55
Wentworthville,2014,93.25
Werrington,2014,94.75
Werris Creek,2014,95.7
West Gosford,2014,91.5
West Kempsey,2014,93.6
West Pymble,2014,94.8
West Tamworth,2014,93.55
West Wallsend,2014,96.3
Westdale,2014,93.8
Westmead,2014,95.36666667
Weston,2014,95.2
Wetherill Park,2014,97
Whalan,2014,93
Wilberforce,2014,96.7
Wiley Park,2014,92.8
Willmot,2014,96.3
Willoughby,2014,96.6
Wilton,2014,93.3
Windale,2014,95.3
Wingham,2014,95.8
Winmalee,2014,94.2
Wollongbar,2014,91.9
Wollongong,2014,93.15
Wollongong West,2014,95.1
Woodberry,2014,93.6
Woodburn,2014,93.7
Woodenbong,2014,96.8
Woolgoolga,2014,95
Wooli,2014,95.5
Woollahra,2014,94.53333333
Woronora,2014,94.4
Woy Woy,2014,95.6
Wyee,2014,95.7
Wyoming,2014,94.46666667
Wyong,2014,94.2
Wyong Creek,2014,96
Yagoona,2014,95.1
Yamba,2014,95.3
Yass,2014,95.6
Yennora,2014,93.3
Young,2014,94.7
Yowie Bay,2014,95.3
Abbotsford,2015,94.6
Aberdeen,2015,91.4
Abermain,2015,95.1
Adamstown,2015,95
Albion Park,2015,92.46666667
Albury,2015,93.1
Allambie Heights,2015,92.9
Alstonville,2015,95.45
Ambarvale,2015,95.65
Annandale,2015,95.15
Annangrove,2015,92.5
Appin,2015,94.3
Arcadia,2015,94.95
Ariah Park,2015,90.7
Armidale,2015,93.77142857
Arncliffe,2015,93.4
Ashbury,2015,95.3
Ashcroft,2015,93.6
Ashfield,2015,96.2
Ashmont,2015,93.1
Ashtonfield,2015,91.6
Auburn,2015,92.875
Austinmer,2015,96
Austral,2015,94.3
Avalon Beach,2015,94.95
Avoca Beach,2015,95.7
Awaba,2015,98.5
Balgowlah,2015,92.3
Balgownie,2015,92.6
Ballina,2015,94
Balmain,2015,92.73333333
Balmain East,2015,92.5
Balranald,2015,95
Bangalow,2015,94.8
Bangor,2015,91.9
Bankstown,2015,93.36666667
Banora Point,2015,90.8
Baradine,2015,96.4
Barden Ridge,2015,94.2
Bardia,2015,92.6
Bargo,2015,93.3
Barham,2015,89.2
Barooga,2015,92.4
Barraba,2015,93.9
Barrack Heights,2015,93
Bass Hill,2015,93.3
Bateau Bay,2015,93
Bathurst,2015,95.05
Batlow,2015,96.2
Baulkham Hills,2015,93.73333333
