School_Name,Suburb,Postcode,Type,Latitude,Longitude,School_Sector,Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Indigenous_Enrolments,Language_Background_Other_Than_English
Christian Brothers High School Lewisham,Lewisham,2049,Combined,-33.8974,151.146,Independent,103,1327,0,1327,3,11
St Augustine's College Sydney,Brookvale,2100,Combined,-33.7597,151.272,Independent,123,1341,0,1341,1,5
Kincoppal - Rose Bay School of the Sacred Heart,Rose Bay,2029,Combined,-33.8634,151.272,Independent,106,911,879,32,1,14
Loreto Normanhurst,Normanhurst,2076,Combined,-33.721,151.101,Independent,124,1087,1087,0,2,4
Covenant Christian School,Belrose,2085,Combined,-33.7137,151.216,Independent,92,909,447,462,1,24
Mount Sinai College,Maroubra,2035,Primary,-33.9352,151.237,Independent,21,274,124,150,0,10
OneSchool Global NSW,Oatlands,2117,Combined,-33.7863,151.033,Independent,144,1106,528,578,0,0
Yeshiva College,Bondi,2026,Combined,-33.8916,151.259,Independent,6,50,22,28,0,38
Currambena Primary School,Lane Cove,2066,Primary,-33.8208,151.17,Independent,7,91,44,47,2,23
Abbotsleigh,Wahroonga,2076,Combined,-33.7199,151.111,Independent,155,1459,1459,0,1,46
Queenwood,Mosman,2088,Combined,-33.8238,151.248,Independent,118,896,896,0,0,1
Glenaeon Rudolf Steiner School,Middle Cove,2068,Combined,-33.7915,151.209,Independent,56,411,196,215,0,29
Kamaroi Rudolf Steiner School,Belrose,2085,Primary,-33.7114,151.216,Independent,18,177,95,82,0,14
The Scots College,Bellevue Hill,2023,Combined,-33.8751,151.254,Independent,237,1967,0,1967,1,18
Kesser Torah College,Dover Heights,2030,Combined,-33.8723,151.283,Independent,36,335,178,157,0,24
St Andrew's Cathedral School,Sydney,2000,Combined,-33.8738,151.206,Independent,167,1313,498,815,2,27
Pymble Ladies' College,Pymble,2073,Combined,-33.7473,151.134,Independent,224,2273,2273,0,1,44
Northside Montessori School,Pymble,2073,Primary,-33.7349,151.137,Independent,10,88,36,52,0,43
Masada College,St Ives,2075,Combined,-33.7298,151.167,Independent,62,479,186,293,0,34
Roseville College,Roseville,2069,Combined,-33.7852,151.18,Independent,110,973,973,0,0,18
Wenona School,North Sydney,2060,Combined,-33.8341,151.21,Independent,111,1138,1138,0,0,4
Forestville Montessori School,Forestville,2087,Primary,-33.7583,151.219,Independent,17,60,24,36,0,0
Claremont College,Randwick,2031,Primary,-33.9184,151.244,Independent,30,377,196,181,1,9
SCECGS Redlands,Cremorne,2090,Combined,-33.8322,151.227,Independent,168,1600,806,794,0,13
Northcross Christian School,Ryde,2112,Primary,-33.8056,151.111,Independent,30,357,176,181,0,62
Italian Bilingual School,Meadowbank,2114,Primary,-33.8864,151.158,Independent,13,90,49,41,2,23
Yanginanook School,Belrose,2085,Combined,-33.7124,151.214,Independent,6,37,23,14,8,13
Kambala,Rose Bay,2029,Combined,-33.8656,151.272,Independent,121,972,972,0,1,6
Montessori East,Bondi,2026,Primary,-33.893,151.264,Independent,6,101,46,55,0,18
International Grammar School,Ultimo,2007,Combined,-33.8817,151.195,Independent,114,1186,544,642,2,33
Ravenswood School for Girls,Gordon,2072,Combined,-33.76,151.156,Independent,158,1268,1268,0,0,26
SCEGGS Darlinghurst,Darlinghurst,2010,Combined,-33.876,151.219,Independent,129,930,930,0,1,16
Ascham School,Edgecliff,2027,Combined,-33.8787,151.237,Independent,143,1181,1181,0,1,15
Emanuel School,Randwick,2031,Combined,-33.907,151.244,Independent,91,829,400,429,0,10
Berowra Christian School,Berowra,2081,Primary,-33.6213,151.147,Independent,8,50,20,30,0,18
Galstaun College,Ingleside,2101,Combined,-33.6787,151.265,Independent,28,306,148,158,0,61
Arden Anglican School,Beecroft,2119,Primary,-33.7467,151.065,Independent,73,859,377,482,0,53
John Colet School,Belrose,2085,Primary,-33.7229,151.214,Independent,22,228,111,117,0,44
Inner Sydney Montessori School,Balmain,2041,Primary,-33.8591,151.185,Independent,17,185,87,98,0,6
The Athena School,Newtown,2042,Combined,-33.8956,151.175,Independent,7,45,23,22,2,56
St Catherine's School,Waverley,2024,Combined,-33.9047,151.254,Independent,122,1013,1013,0,1,18
St Luke's Grammar School,Dee Why,2099,Combined,-33.7598,151.284,Independent,117,1148,569,579,0,12
A.G.B.U. Alexander Primary School,Duffys Forest,2084,Primary,-33.67679,151.18715,Independent,5,51,26,25,0,100
Wahroonga Adventist School,Wahroonga,2076,Combined,-33.7367,151.1,Independent,48,516,244,272,0,22
Mosman Church of England Preparatory School,Mosman,2088,Primary,-33.8329,151.24,Independent,31,301,0,301,0,93
Northern Beaches Christian School,Terrey Hills,2084,Combined,-33.674,151.202,Independent,91,1228,532,696,0,7
Coogee Boys' Preparatory School,Randwick,2031,Primary,-33.9128,151.239,Independent,14,125,0,125,0,22
Oxford Falls Grammar School,Oxford Falls,2100,Combined,-33.7382,151.246,Independent,97,1126,553,573,0,8
St Andrew's Cathedral Gawura School,Sydney,2000,Primary,-33.8738,151.205,Independent,13,32,19,13,100,13
Pittwater House Schools,Collaroy,2097,Combined,-33.7409,151.291,Independent,103,848,383,465,0,20
International Chinese School,Chatswood,2067,Primary,-33.7955,151.177,Independent,7,40,26,14,0,58
Anzac Park Public School,Cammeray,2062,Primary,-33.8266,151.211,Government,34,619,319,300,1,50
Hills Montessori School,West Pennant Hills,2125,Combined,-33.7521,151.025,Independent,3,13,6,7,0,
Wentworth Point Public School,Wentworth Point,2127,Primary,-33.8233,151.08,Government,15,357,171,186,1,90
Lindfield Learning Village,Lindfield,2070,Combined,-33.7867,151.16112,Government,30,315,147,168,1,30
