ACARA_ID,School_Name,Suburb,ICSEA,,,,
52051,Anzac Park Public School,Cammeray,1141,,,,
41235,Pennant Hills Public School,Pennant Hills,1140,,,,
41277,Kent Road Public School,Eastwood,1140,,,,
41288,West Pymble Public School,West Pymble,1140,,,,
43252,St Agatha's Catholic Primary School,Pennant Hills,1140,,,,
43920,Kambala,Rose Bay,1140,,,,
41275,Eastwood Heights Public School,Eastwood,1139,,,,
44007,Wahroonga Adventist School,Wahroonga,1139,,,,
41143,Paddington Public School,Paddington,1138,,,,
41231,Normanhurst Public School,Normanhurst,1138,,,,
40995,Birchgrove Public School,Balmain,1137,,,,
41093,Erskineville Public School,Erskineville,1137,,,,
43386,St Anthony's Catholic Primary School,Clovelly,1137,,,,
43420,St Fiacre's Catholic Primary School,Leichhardt,1137,,,,
41041,Nicholson Street Public School,Balmain East,1136,,,,
41080,Waverley Public School,Waverley,1136,,,,
41730,Carlingford West Public School,Carlingford,1136,,,,
43240,Our Lady of Good Counsel Catholic Primary School,Forestville,1136,,,,
44028,Oxford Falls Grammar School,Oxford Falls,1136,,,,
40369,Moriah College,Bondi Junction,1135,,,,
40408,Tangara School for Girls,Cherrybrook,1135,,,,
41286,Normanhurst West Public School,Thornleigh,1135,,,,
43247,St Kieran's Catholic Primary School,Manly Vale,1135,,,,
43953,Ascham School,Edgecliff,1135,,,,
41014,Drummoyne Public School,Drummoyne,1134,,,,
41057,Vaucluse Public School,Vaucluse,1134,,,,
43899,Italian Bilingual School,Meadowbank,1134,,,,
44023,Northern Beaches Christian School,Terrey Hills,1134,,,,
41022,Haberfield Public School,Haberfield,1133,,,,
41142,Newtown Public School,Newtown,1133,,,,
41240,North Ryde Public School,North Ryde,1132,,,,
41317,Eastwood Public School,Eastwood,1132,,,,
41010,Coogee Public School,Coogee,1131,,,,
41302,Kambora Public School,Davidson,1131,,,,
43429,St Anthony's Catholic Primary School,Marsfield,1131,,,,
41043,Orange Grove Public School,Leichhardt,1130,,,,
41217,Harbord Public School,Freshwater,1130,,,,
41114,Sydney Distance Education Primary School,Surry Hills,1128,,,,
41287,Thornleigh West Public School,Thornleigh,1128,,,,
41297,St Ives Park Public School,St Ives,1128,,,,
43976,Arden Anglican School,Beecroft,1128,,,,
41140,Leichhardt Public School,Leichhardt,1127,,,,
41241,West Ryde Public School,West Ryde,1127,,,,
41211,Frenchs Forest Public School,Frenchs Forest,1125,,,,
40997,Bondi Beach Public School,Bondi Beach,1124,,,,
41046,Rainbow Street Public School,Randwick,1124,,,,
41133,Bourke Street Public School,Surry Hills,1124,,,,
41278,Truscott Street Public School,North Ryde,1124,,,,
43230,St Patrick's Catholic Primary School,Asquith,1124,,,,
43407,St James Catholic Primary School,Glebe,1123,,,,
41213,Gladesville Public School,Gladesville,1122,,,,
41236,West Pennant Hills Public School,West Pennant Hills,1122,,,,
41281,Allambie Heights Public School,Allambie Heights,1121,,,,
41027,Kensington Public School,Kensington,1120,,,,
41272,Forestville Public School,Forestville,1120,,,,
43233,St Bernard's Catholic Primary School,Berowra Heights,1120,,,,
43398,St Kevin's Catholic Primary School,Eastwood,1120,,,,
41257,Meadowbank Public School,Ryde,1119,,,,
43374,Galilee Catholic Primary School,Bondi Beach,1119,,,,
43432,St Michael's Catholic Primary School,Meadowbank,1119,,,,
41001,Camdenville Public School,Newtown,1118,,,,
41019,Fort Street Public School,Sydney,1118,,,,
41273,Manly Vale Public School,Manly Vale,1118,,,,
41145,Stanmore Public School,Stanmore,1117,,,,
41210,Ermington Public School,West Ryde,1117,,,,
41284,Ryde East Public School,North Ryde,1116,,,,
41294,Wakehurst Public School,Belrose,1116,,,,
40988,Annandale Public School,Annandale,1115,,,,
41306,Hornsby South Public School,Hornsby,1115,,,,
41522,Newington Public School,Newington,1115,,,,
41237,Putney Public School,Ryde,1114,,,,
41290,Roselea Public School,Carlingford,1114,,,,
43439,Holy Spirit Catholic Primary School,North Ryde,1114,,,,
41026,Kegworth Public School,Leichhardt,1113,,,,
41141,Maroubra Junction Public School,Maroubra,1113,,,,
43237,St Martin's Catholic Primary School,Davidson,1113,,,,
43236,St Rose Catholic Primary School,Collaroy Plateau,1113,,,,
41802,Carlingford Public School,Carlingford,1111,,,,
43249,St Joseph's Catholic Primary School,Narrabeen,1111,,,,
43248,Sacred Heart Catholic Primary School,Mona Vale,1110,,,,
43248,Sacred Heart Catholic Primary School,Mona Vale,1110,,,,
43821,The Scots College,Bellevue Hill,1110,,,,
41292,Bilgola Plateau Public School,Bilgola Plateau,1109,,,,
41299,Mimosa Public School,Frenchs Forest,1109,,,,
43393,St Michael's Catholic Primary School,Daceyville,1109,,,,
40987,Abbotsford Public School,Abbotsford,1108,,,,
41076,Crown Street Public School,Surry Hills,1108,,,,
